sq_mt_built,n_rooms,n_bathrooms,floor,has_central_heating,has_ac,has_fitted_wardrobes,is_exterior,has_terrace,has_balcony,has_storage_room,District,Neighborhood,Avg_price_distr,Avg_price_neigh,has_sum,rent_price_area,Neigh_cluster,house_type_id_HouseType 2: Casa o chalet,rent_price
71,2.0,2,4,0,0,1,1,1,0,1, Villaverde , Butarque ,843,830,6,12.32394366197183,0,0,875.0
133,3.0,2,3,1,1,1,1,0,0,0, Chamberí , Almagro ,1671,2327,3,18.796992481203006,8,0,2500.0
67,1.0,1,2,0,0,1,1,0,1,0, Chamberí , Almagro ,1671,2327,3,20.149253731343283,8,0,1350.0
65,1.0,1,3,0,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,4,16.923076923076923,5,0,1100.0
95,3.0,2,2,0,0,1,1,0,0,0, Latina , Campamento ,992,929,3,10.473684210526315,2,0,995.0
125,3.0,2,3,0,1,1,1,1,0,1, Chamberí , Almagro ,1671,2327,4,16.8,8,0,2100.0
117,3.0,2,7,0,1,1,1,0,0,0, Arganzuela , Acacias ,1094,1044,5,12.820512820512821,5,0,1500.0
55,2.0,1,2,0,0,0,1,0,0,0, Latina , Campamento ,992,929,1,13.636363636363637,2,0,750.0
60,2.0,1,2,0,0,1,1,0,0,0, Chamberí , Arapiles ,1671,1325,2,16.25,7,0,975.0
100,3.0,2,0,1,1,1,1,0,0,1, Ciudad Lineal , Concepción ,1263,1073,6,15.0,4,0,1500.0
35,1.0,1,2,0,1,1,0,0,0,0, Arganzuela , Acacias ,1094,1044,3,20.0,5,0,700.0
81,2.0,1,4,0,1,0,1,1,0,0, Retiro , Adelfas ,1790,1494,4,16.666666666666668,5,0,1350.0
90,3.0,1,3,0,1,1,1,0,0,0, Tetuán , Ventilla-Almenara ,1190,1189,3,12.222222222222221,5,0,1100.0
70,1.0,1,2,1,1,1,1,1,0,0, Chamberí , Almagro ,1671,2327,4,22.857142857142858,8,0,1600.0
178,4.0,3,3,0,1,1,1,1,0,0, Retiro , Adelfas ,1790,1494,6,15.168539325842696,5,0,2700.0
42,1.0,1,4,0,1,1,1,0,0,0, Moncloa , Argüelles ,2151,1727,3,22.61904761904762,6,0,950.0
170,4.0,2,3,0,0,1,1,0,0,0, Tetuán , Ventilla-Almenara ,1190,1189,1,10.0,5,0,1700.0
116,4.0,2,1,0,0,1,1,0,0,0, Latina , Los Cármenes ,992,972,2,10.775862068965518,2,0,1250.0
76,2.0,1,2,0,1,1,1,1,0,1, Tetuán , Ventilla-Almenara ,1190,1189,4,18.42105263157895,5,0,1400.0
70,1.0,1,1,0,0,0,1,1,0,0, Tetuán , Ventilla-Almenara ,1190,1189,2,12.857142857142858,5,0,900.0
262,4.0,4,3,1,1,1,1,0,1,0, Chamberí , Almagro ,1671,2327,4,15.133587786259541,8,0,3965.0
48,1.0,1,0,0,0,1,1,0,0,0, Latina , Los Cármenes ,992,972,2,13.541666666666666,2,0,650.0
67,2.0,1,4,0,0,0,1,1,0,0, Latina , Aluche ,992,920,2,10.447761194029852,1,0,700.0
65,1.0,1,1,0,1,1,1,1,1,0, Usera , Almendrales ,932,1108,5,14.307692307692308,3,0,930.0
90,3.0,1,5,1,0,1,1,1,0,0, Arganzuela , Acacias ,1094,1044,5,13.61111111111111,5,0,1225.0
