sq_mt_built,n_rooms,n_bathrooms,floor,has_central_heating,has_ac,has_fitted_wardrobes,is_exterior,has_terrace,has_balcony,has_storage_room,District,Neighborhood,Avg_price_distr,Avg_price_neigh,has_sum,rent_price_area,Neigh_cluster,house_type_id_HouseType 2: Casa o chalet,rent_price,predictions_knn,residuals_knn_abs,residuals_knn,resid_percent_knn_abs,resid_percent_knn
90,2.0,2,3,0,1,0,1,0,1,0, Barrio de Salamanca , Lista ,2079,1715,4,20.555555555555557,7,0,1850.0,1500.0,350.0,350.0,18.91891891891892,18.91891891891892
65,1.0,1,3,1,1,0,0,0,1,0, Moncloa , Argüelles ,2151,1727,3,13.846153846153848,6,0,900.0,1200.0,300.0,-300.0,33.333333333333336,-33.333333333333336
140,3.0,3,1,0,1,1,1,0,1,0, Centro , Huertas-Cortes ,1355,1450,4,18.5,7,0,2590.0,2100.0,490.0,490.0,18.91891891891892,18.91891891891892
45,1.0,1,1,0,1,1,1,0,0,0, Puente de Vallecas , Numancia ,775,787,4,17.777777777777782,4,0,800.0,757.5,42.5,42.5,5.3125,5.3125
38,1.0,1,0,0,0,1,0,0,0,0, Centro , Palacio ,1355,1370,2,17.63157894736842,6,0,670.0,700.0,30.0,-30.0,4.477611940298507,-4.477611940298507
66,2.0,2,5,0,0,1,1,0,0,0, Chamberí , Vallehermoso ,1671,1693,1,23.484848484848484,6,0,1550.0,1475.0,75.0,75.0,4.838709677419355,4.838709677419355
158,3.0,3,3,0,1,1,1,0,1,0, Centro , Chueca-Justicia ,1355,1709,3,22.151898734177212,8,0,3500.0,2500.0,1000.0,1000.0,28.571428571428573,28.571428571428573
50,1.0,1,4,0,1,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,16.0,6,0,800.0,1175.0,375.0,-375.0,46.875,-46.875
118,3.0,2,2,1,1,0,1,1,1,0, Barrio de Salamanca , Castellana ,2079,2512,5,20.338983050847453,8,0,2400.0,2300.0,100.0,100.0,4.166666666666667,4.166666666666667
102,2.0,2,6,0,0,1,1,0,0,0, Villaverde , Butarque ,843,830,4,8.088235294117647,1,0,825.0,1200.0,375.0,-375.0,45.45454545454545,-45.45454545454545
80,3.0,1,4,0,0,1,0,0,0,0, Centro , Chueca-Justicia ,1355,1709,2,13.75,8,0,1100.0,925.0,175.0,175.0,15.909090909090908,15.909090909090908
100,2.0,1,4,0,1,0,1,0,0,0, Centro , Huertas-Cortes ,1355,1450,2,14.0,7,0,1400.0,1090.0,310.0,310.0,22.142857142857142,22.142857142857142
80,1.0,1,5,0,1,1,1,1,0,0, Barrio de Salamanca , Guindalera ,2079,1349,4,11.875,6,0,950.0,1425.0,475.0,-475.0,50.0,-50.0
50,1.0,1,2,0,1,1,1,0,1,0, Centro , Malasaña-Universidad ,1355,1313,4,19.0,7,0,950.0,1397.5,447.5,-447.5,47.10526315789474,-47.10526315789474
100,2.0,2,4,0,1,1,1,1,0,0, Centro , Chueca-Justicia ,1355,1709,4,16.0,8,0,1600.0,1635.0,35.0,-35.0,2.1875,-2.1875
194,5.0,3,4,1,1,1,1,1,0,0, Barrio de Salamanca , Goya ,2079,1759,5,16.49484536082474,7,0,3200.0,2300.0,900.0,900.0,28.125,28.125
82,2.0,3,0,0,0,1,1,0,0,0, Latina , Puerta del Ángel ,992,1047,2,10.365853658536585,5,0,850.0,975.0,125.0,-125.0,14.705882352941176,-14.705882352941176
46,2.0,1,3,0,0,1,1,0,0,0, Fuencarral , Pilar ,1744,996,2,18.47826086956522,4,0,850.0,1062.5,212.5,-212.5,25.0,-25.0
130,3.0,2,8,0,1,1,1,1,0,0, Tetuán , Cuzco-Castillejos ,1190,1341,5,26.923076923076927,6,0,3500.0,1550.0,1950.0,1950.0,55.714285714285715,55.714285714285715
40,1.0,1,3,0,0,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,21.25,6,0,850.0,762.5,87.5,87.5,10.294117647058824,10.294117647058824
69,1.0,1,2,1,1,1,1,1,0,0, Chamartín , Nueva España ,1950,2310,6,20.28985507246377,6,0,1400.0,1500.0,100.0,-100.0,7.142857142857143,-7.142857142857143
70,2.0,1,6,0,1,1,1,0,0,0, Moncloa , Valdezarza ,2151,1239,3,12.142857142857142,4,0,850.0,1250.0,400.0,-400.0,47.05882352941177,-47.05882352941177
30,1.0,1,4,0,0,0,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,26.66666666666667,6,0,800.0,720.0,80.0,80.0,10.0,10.0
