sq_mt_built,n_rooms,n_bathrooms,floor,has_central_heating,has_ac,has_fitted_wardrobes,is_exterior,has_terrace,has_balcony,has_storage_room,District,Neighborhood,Avg_price_distr,Avg_price_neigh,has_sum,rent_price_area,Neigh_cluster,house_type_id_HouseType 2: Casa o chalet,rent_price,predictions_lgb,residuals_lgb_abs,residuals_lgb,resid_percent_lgb,resid_percent_lgb_abs
90,2.0,2,3,0,1,0,1,0,1,0, Barrio de Salamanca , Lista ,2079,1715,4,20.555555555555557,7,0,1850.0,1879.2902684269843,29.290268426984312,-29.290268426984312,-1.5832577528099627,1.5832577528099627
65,1.0,1,3,1,1,0,0,0,1,0, Moncloa , Argüelles ,2151,1727,3,13.846153846153848,6,0,900.0,1050.8765363373548,150.87653633735476,-150.87653633735476,-16.76405959303942,16.76405959303942
140,3.0,3,1,0,1,1,1,0,1,0, Centro , Huertas-Cortes ,1355,1450,4,18.5,7,0,2590.0,2747.049813613984,157.04981361398404,-157.04981361398404,-6.063699367335291,6.063699367335291
45,1.0,1,1,0,1,1,1,0,0,0, Puente de Vallecas , Numancia ,775,787,4,17.777777777777782,4,0,800.0,707.1607708878179,92.83922911218212,92.83922911218212,11.604903639022766,11.604903639022766
38,1.0,1,0,0,0,1,0,0,0,0, Centro , Palacio ,1355,1370,2,17.63157894736842,6,0,670.0,705.2827879999164,35.28278799991642,-35.28278799991642,-5.266087761181556,5.266087761181556
66,2.0,2,5,0,0,1,1,0,0,0, Chamberí , Vallehermoso ,1671,1693,1,23.484848484848484,6,0,1550.0,1452.5785523098339,97.42144769016613,97.42144769016613,6.285254689688138,6.285254689688138
158,3.0,3,3,0,1,1,1,0,1,0, Centro , Chueca-Justicia ,1355,1709,3,22.151898734177212,8,0,3500.0,3496.1892114853867,3.8107885146132503,3.8107885146132503,0.10887967184609286,0.10887967184609286
50,1.0,1,4,0,1,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,16.0,6,0,800.0,890.5579218927599,90.55792189275985,-90.55792189275985,-11.31974023659498,11.31974023659498
118,3.0,2,2,1,1,0,1,1,1,0, Barrio de Salamanca , Castellana ,2079,2512,5,20.338983050847453,8,0,2400.0,2142.159621902281,257.84037809771917,257.84037809771917,10.743349087404965,10.743349087404965
102,2.0,2,6,0,0,1,1,0,0,0, Villaverde , Butarque ,843,830,4,8.088235294117647,1,0,825.0,1071.8830063225776,246.88300632257756,-246.88300632257756,-29.92521288758516,29.92521288758516
80,3.0,1,4,0,0,1,0,0,0,0, Centro , Chueca-Justicia ,1355,1709,2,13.75,8,0,1100.0,1509.7452343408447,409.7452343408447,-409.7452343408447,-37.24956675825861,37.24956675825861
100,2.0,1,4,0,1,0,1,0,0,0, Centro , Huertas-Cortes ,1355,1450,2,14.0,7,0,1400.0,1470.608389135867,70.6083891358669,-70.6083891358669,-5.043456366847636,5.043456366847636
80,1.0,1,5,0,1,1,1,1,0,0, Barrio de Salamanca , Guindalera ,2079,1349,4,11.875,6,0,950.0,1249.8555893942835,299.85558939428347,-299.85558939428347,-31.563746252029837,31.563746252029837
50,1.0,1,2,0,1,1,1,0,1,0, Centro , Malasaña-Universidad ,1355,1313,4,19.0,7,0,950.0,1108.4993159512273,158.49931595122735,-158.49931595122735,-16.684138521181826,16.684138521181826
100,2.0,2,4,0,1,1,1,1,0,0, Centro , Chueca-Justicia ,1355,1709,4,16.0,8,0,1600.0,1974.6328982708558,374.6328982708558,-374.6328982708558,-23.414556141928486,23.414556141928486
194,5.0,3,4,1,1,1,1,1,0,0, Barrio de Salamanca , Goya ,2079,1759,5,16.49484536082474,7,0,3200.0,2703.494949873473,496.50505012652684,496.50505012652684,15.515782816453964,15.515782816453964
82,2.0,3,0,0,0,1,1,0,0,0, Latina , Puerta del Ángel ,992,1047,2,10.365853658536585,5,0,850.0,1254.6613200531222,404.66132005312215,-404.66132005312215,-47.607214123896725,47.607214123896725
46,2.0,1,3,0,0,1,1,0,0,0, Fuencarral , Pilar ,1744,996,2,18.47826086956522,4,0,850.0,839.7235549136713,10.27644508632875,10.27644508632875,1.2089935395680882,1.2089935395680882
