sq_mt_built,n_rooms,n_bathrooms,floor,has_central_heating,has_ac,has_fitted_wardrobes,is_exterior,has_terrace,has_balcony,has_storage_room,District,Neighborhood,Avg_price_distr,Avg_price_neigh,has_sum,rent_price_area,Neigh_cluster,house_type_id_HouseType 2: Casa o chalet,rent_price,predictions_tuned_Xgb,residuals_tuned_Xgb_abs,residuals_tuned_Xgb,resid_percent_Xgb,resid_percent_Xgb_abs
90,2.0,2,3,0,1,0,1,0,1,0, Barrio de Salamanca , Lista ,2079,1715,4,20.555555555555557,7,0,1850.0,1836,14.0,14.0,0.7567567567567568,0.7567567567567568
65,1.0,1,3,1,1,0,0,0,1,0, Moncloa , Argüelles ,2151,1727,3,13.846153846153848,6,0,900.0,1085,185.0,-185.0,-20.555555555555557,20.555555555555557
140,3.0,3,1,0,1,1,1,0,1,0, Centro , Huertas-Cortes ,1355,1450,4,18.5,7,0,2590.0,2791,201.0,-201.0,-7.760617760617761,7.760617760617761
45,1.0,1,1,0,1,1,1,0,0,0, Puente de Vallecas , Numancia ,775,787,4,17.777777777777782,4,0,800.0,723,77.0,77.0,9.625,9.625
38,1.0,1,0,0,0,1,0,0,0,0, Centro , Palacio ,1355,1370,2,17.63157894736842,6,0,670.0,776,106.0,-106.0,-15.82089552238806,15.82089552238806
66,2.0,2,5,0,0,1,1,0,0,0, Chamberí , Vallehermoso ,1671,1693,1,23.484848484848484,6,0,1550.0,1443,107.0,107.0,6.903225806451613,6.903225806451613
158,3.0,3,3,0,1,1,1,0,1,0, Centro , Chueca-Justicia ,1355,1709,3,22.151898734177212,8,0,3500.0,3437,63.0,63.0,1.8,1.8
50,1.0,1,4,0,1,0,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,16.0,6,0,800.0,864,64.0,-64.0,-8.0,8.0
118,3.0,2,2,1,1,0,1,1,1,0, Barrio de Salamanca , Castellana ,2079,2512,5,20.338983050847453,8,0,2400.0,2204,196.0,196.0,8.166666666666666,8.166666666666666
102,2.0,2,6,0,0,1,1,0,0,0, Villaverde , Butarque ,843,830,4,8.088235294117647,1,0,825.0,986,161.0,-161.0,-19.515151515151516,19.515151515151516
80,3.0,1,4,0,0,1,0,0,0,0, Centro , Chueca-Justicia ,1355,1709,2,13.75,8,0,1100.0,1329,229.0,-229.0,-20.818181818181817,20.818181818181817
100,2.0,1,4,0,1,0,1,0,0,0, Centro , Huertas-Cortes ,1355,1450,2,14.0,7,0,1400.0,1585,185.0,-185.0,-13.214285714285714,13.214285714285714
80,1.0,1,5,0,1,1,1,1,0,0, Barrio de Salamanca , Guindalera ,2079,1349,4,11.875,6,0,950.0,1170,220.0,-220.0,-23.157894736842106,23.157894736842106
